Logo Sessions | Start: 2026-05-08 10:56:26.904506 | End: 2026-05-08 10:56:32.456536 | Duration: 0:00:05.552030 | Code: 1
ERROR: Script failed: C:\Users\ankur\Dev\others\DS\DA-Workflow\sessions\logo\01_sessions.py
Logo Sessions | Start: 2026-05-08 10:57:24.681327 | End: 2026-05-08 11:00:16.702401 | Duration: 0:02:52.021074 | Code: 0
FP files download | Start: 2026-05-08 11:00:16.703369 | End: 2026-05-08 11:00:35.719851 | Duration: 0:00:19.016482 | Code: 0
correcting the data | Start: 2026-05-08 11:00:35.721487 | End: 2026-05-08 11:00:40.081664 | Duration: 0:00:04.360177 | Code: 0
mapping the data | Start: 2026-05-08 11:00:40.082806 | End: 2026-05-08 11:01:03.840579 | Duration: 0:00:23.757773 | Code: 0
merging the member declaration and viewership data for fp | Start: 2026-05-08 11:01:03.861195 | End: 2026-05-08 11:01:13.866252 | Duration: 0:00:10.005057 | Code: 0
household sessions for fp | Start: 2026-05-08 11:01:13.867353 | End: 2026-05-08 11:01:54.853410 | Duration: 0:00:40.986057 | Code: 0
member sessions for fp | Start: 2026-05-08 11:01:54.854666 | End: 2026-05-08 11:02:35.699836 | Duration: 0:00:40.845170 | Code: 0
cleaning | Start: 2026-05-08 11:02:35.700571 | End: 2026-05-08 11:02:37.180792 | Duration: 0:00:01.480221 | Code: 0
merging sessions without rejuvenation for rejuvenation history file | Start: 2026-05-08 11:02:37.182045 | End: 2026-05-08 11:02:38.319317 | Duration: 0:00:01.137272 | Code: 0
cleaning for history file | Start: 2026-05-08 11:02:38.320529 | End: 2026-05-08 11:02:39.510983 | Duration: 0:00:01.190454 | Code: 1
ERROR: Script failed: C:\Users\ankur\Dev\others\DS\DA-Workflow\sessions\merging\10_data_cleaning.py
Logo Sessions | Start: 2026-05-08 11:14:28.771588 | End: 2026-05-08 11:20:51.641796 | Duration: 0:06:22.870208 | Code: 0
FP files download | Start: 2026-05-08 11:20:51.644443 | End: 2026-05-08 11:21:11.371907 | Duration: 0:00:19.727464 | Code: 0
correcting the data | Start: 2026-05-08 11:21:11.373613 | End: 2026-05-08 11:21:16.069993 | Duration: 0:00:04.696380 | Code: 0
mapping the data | Start: 2026-05-08 11:21:16.071274 | End: 2026-05-08 11:21:47.911243 | Duration: 0:00:31.839969 | Code: 0
merging the member declaration and viewership data for fp | Start: 2026-05-08 11:21:47.941159 | End: 2026-05-08 11:22:07.554175 | Duration: 0:00:19.613016 | Code: 0
household sessions for fp | Start: 2026-05-08 11:22:07.556762 | End: 2026-05-08 11:24:16.724889 | Duration: 0:02:09.168127 | Code: 0
